place,name,rating,responses,answers
1,Альфа-Банк,96.6155,237496,237496
2,Совкомбанк,96.4844,40760,40368
3,Тинькофф Банк,91.5224,67797,67573
4,Россельхозбанк,86.9925,13555,13395
5,Московский кредитный банк (МКБ),84.1721,7605,7592
6,Русский Стандарт,81.163,8441,8434
7,Точка,80.4203,1629,1629
8,Кредит Европа Банк,75.6524,2402,2388
9,Модульбанк,70.2533,1315,1313
10,Банк «Открытие»,63.3599,6516,6511
11,МТС Банк,61.6019,8005,8003
12,Хоум Банк,54.793,7635,7596
13,Уральский банк реконструкции и развития (УБРиР),49.5914,2703,2702
14,Банк ЗЕНИТ,45.7894,781,757
15,Газпромбанк,44.9182,8439,8438
16,Банк ДОМ.РФ,42.7507,1417,1416
17,ПСБ,42.3642,2303,2300
18,ВТБ,40.8841,12758,12753
19,Почта Банк,38.5822,2699,2698
20,Абсолют Банк,37.7752,758,756
21,Бланк,37.4288,920,910
22,Экспобанк,37.0553,393,392
23,Сбербанк,35.2294,19727,19421
24,Росбанк,33.461,2008,2006
25,Ренессанс Банк,30.1344,1683,1668
26,Центр-инвест,27.6927,211,211
27,Банк «Санкт-Петербург»,27.4701,701,696
28,Ozon Банк,27.3702,4710,4707
29,Банк Синара (СКБ-банк),27.2368,673,673
30,КАМКОМБАНК,26.8913,296,162
31,Норвик Банк,26.4264,163,163
32,Делобанк,25.3345,93,93
33,ЮMoney,24.5456,441,440
34,Драйв Клик Банк,24.3531,547,543
35,РостФинанс,23.7963,140,134
36,Банк Финсервис,23.1106,21,20
37,БЖФ Банк,22.5258,111,111
38,Реалист Банк,22.3531,43,40
39,РУСНАРБАНК,22.2522,37,37
40,РНКБ,22.2393,375,375
41,ЦМРБанк,21.8609,4,2
42,Таврический Банк,21.818,93,71
43,ТАТСОЦБАНК,21.6895,14,0
44,Банк Казани,21.6234,49,49
45,ЮниКредит Банк,21.5953,362,359
46,Банк «Национальный стандарт»,21.5551,8,8
47,Банк МФК,21.5551,4,1
48,ФИНСТАР БАНК,21.514,5,5
49,Русский Банк Сбережений,21.514,8,0
50,Банк «МБА-МОСКВА»,21.514,2,0
51,Тимер Банк,21.514,3,0
52,Форштадт,21.514,2,0
53,ББР Банк,21.5016,93,92
54,Банк БКФ,21.4879,6,5
55,Алеф-Банк,21.349,93,0
56,Просто|Банк,21.3023,41,41
57,Банк ФИНАМ,21.1561,33,1
58,Банк «ОРЕНБУРГ»,21.1519,4,0
59,Банк «Столичный Кредит»,21.1519,2,0
60,Газтрансбанк,21.1039,1,0
61,НБД-Банк,21.1039,1,0
62,Дальневосточный Банк,20.9882,28,18
63,НС Банк,20.9882,7,5
64,СПБ Банк,20.9767,24,0
65,Банк ПТБ,20.9767,9,1
66,Балтинвестбанк,20.9673,2,0
67,Кубаньторгбанк,20.9673,2,0
68,Датабанк,20.9673,3,0
69,Банк Глобус,20.9673,2,0
70,Банк «Викинг»,20.9673,1,0
71,Живаго банк,20.9673,1,1
72,МБ РУС Банк,20.9673,1,0
73,Банк «Кузнецкий»,20.9673,1,0
74,Экономбанк,20.9673,1,0
75,Томскпромстройбанк,20.9673,1,0
76,Банк «Мир Привилегий»,20.9673,1,0
77,Прио-Внешторгбанк,20.9673,1,0
78,МС Банк Рус,20.9673,3,0
79,Почтобанк,20.9673,6,0
80,Интерпрогрессбанк,20.9673,3,2
81,Первый Инвестиционный Банк,20.9673,5,0
82,Вайлдберриз Банк,20.9673,5,0
83,Александровский,20.9673,5,0
84,МОСКОМБАНК,20.9673,7,0
85,банк Раунд,20.9504,12,0
86,ИС Банк,20.8832,6,0
87,МОРСКОЙ БАНК,20.8035,7,3
88,СДМ-Банк,20.8035,12,12
89,Трансстройбанк,20.8035,10,0
90,Хлынов,20.6567,10,10
91,Агророс Банк,20.6491,12,9
92,Урал ФД,20.6144,4,0
93,ГЕНБАНК,20.6144,10,0
94,Москоммерцбанк,20.6144,7,4
95,АКИБАНК,20.6144,2,0
96,Энергобанк,20.6144,5,0
97,Банк Интеза,20.6053,9,9
98,Тойота Банк,20.6053,4,0
99,Банк Акцепт,20.6053,6,1
100,Банк «РЕСО Кредит»,20.4647,10,9
101,Уралфинанс,20.407,4,0
102,БМ-Банк,20.2749,7,0
103,Кредит Урал Банк,20.273,14,14
104,Банк «РОССИЯ»,20.232,42,42
105,Сургутнефтегазбанк,20.208,8,0
106,Гарант-Инвест,20.1448,10,0
107,Челиндбанк,19.9479,5,0
108,Энерготрансбанк,19.8961,9,9
109,Газэнергобанк,19.8045,18,18
110,Банк «Пойдём!»,19.7608,19,15
111,НДБанк,19.6329,9,0
112,БыстроБанк,19.581,40,40
113,ОТП Банк,19.5331,1661,1644
114,СЕВЕРГАЗБАНК,19.5323,10,0
115,Металлинвестбанк,19.3451,58,12
116,Ланта-Банк,19.329,8,0
117,Райффайзен Банк,19.2297,1279,1265
118,Уралсиб,19.2253,1622,1621
119,НОВИКОМ,19.1657,83,81
120,Локо-Банк,19.1092,239,239
121,Солид Банк,19.0716,21,21
122,МОСОБЛБАНК,19.0359,11,7
123,ВБРР,18.8896,65,65
124,Челябинвестбанк,18.6033,17,0
125,Инвестторгбанк,18.4358,50,0
126,Банк «Солидарность»,18.3302,47,36
127,Цифра банк,18.291,71,64
128,Кубань Кредит,18.2893,29,27
129,SBI Банк,18.2377,64,19
130,Банк «Приморье»,18.1246,29,4
131,Фора-Банк,17.8019,84,84
132,Авто Финанс Банк,17.448,36,5
133,Ингосстрах Банк,16.8551,66,63
134,Примсоцбанк,16.7092,93,77
135,КИВИ Банк,16.1511,657,584
136,Банк ТКБ,16.089,176,171
137,СМП Банк,16.0522,90,71
138,МСП Банк,15.8897,25,24
139,Банк «Левобережный»,15.3128,51,31
140,Юнистрим,15.0937,214,214
141,Ситибанк,14.8832,68,0
142,Авангард,14.7761,83,0
143,Азиатско-Тихоокеанский банк (АТБ),14.5376,305,290
144,Ак Барс Банк,13.891,1074,1015
145,БКС Банк,13.2718,228,216
146,Свой Банк,12.1838,157,156
147,Яндекс Банк,11.0681,421,380
148,Банк «ПСКБ»,0,3,0
149,Алмазэргиэнбанк,0,3,0
150,БМВ Банк,0,1,0
151,Кетовский Коммерческий Банк,0,3,0
152,Банк «АГРОПРОМКРЕДИТ»,0,2,0
153,РосДорБанк,0,3,1
154,Первый Дортрансбанк,0,1,0
155,Национальный Резервный Банк,0,1,0
156,ВУЗ-банк,0,6,1
157,Банк Пермь,0,1,0
158,Владбизнесбанк,0,2,0
159,НИКО-Банк,0,1,0
160,Фольксваген Банк РУС,0,1,0
161,БАНК НБС,0,2,0
162,Траст,0,3,0
163,Банк Оранжевый,0,4,4
164,АвтоКредитБанк,0,6,0
165,Джей энд Ти Банк,0,2,2
166,Уралпромбанк,0,1,0
167,Внешфинбанк,0,1,0
168,Москва-Сити,0,1,0
169,Банк «АГОРА»,0,1,0
170,Классик Эконом Банк,0,1,0
171,МТИ Банк,0,1,0
172,Credit.Club (АО «Дальневосточный банк»),0,2,0
173,ВЭБ,0,1,0
174,Банк «Саратов»,0,1,0
175,АйСиБиСи Банк,0,1,0
176,Банк «Дружба»,0,1,0
177,Автоградбанк,0,2,0
178,АКБ «БЭНК ОФ ЧАЙНА»,0,1,0
179,Контур.Банк,0,3,0
180,Азия-Инвест Банк,0,1,0
181,Банк «Континенталь»,0,1,0
182,АРЕСБАНК,0,1,0
183,ПроБанк,0,1,0
184,Банк 131,0,2,0
185,Банк РСИ,0,1,0
186,Банк «Аверс»,0,1,1
187,Банк «Йошкар-Ола»,0,1,0
188,Ставропольпромстройбанк,0,1,0
189,Автоторгбанк,0,3,0
190,ПЕРВОУРАЛЬСКБАНК,0,2,0
191,Ишбанк,0,1,0
